x,y
1000,21219718
1000,21246766
1000,21278000
1000,21312000
1000,21339154
1000,21363154
1000,21401000
1000,21419000
1000,21431664
1000,21460664
1000,21480000
1000,21495050
1000,21509050
1000,21513000
1000,21516612
1000,21517434
1000,21517822
1000,21518056
1000,21518376
7000,5640
7000,11396
7000,35756
7000,121000
7000,186000
7000,195996
7000,215996
7000,248000
7000,268308
7000,298308
7000,339000
7000,401000
7000,494046
7000,538208
7000,543162
7000,555640
7000,563640
7000,573000
7000,605000
7000,653000
7000,804000
7000,980000
7000,1060046
7000,1090452
7000,1099162
7000,1108512
7000,1111756
7000,1120756
7000,1152756
7000,1211162
7000,1245324
7000,1256162
7000,1300000
7000,1350000
7000,1406448
7000,1451448
7000,1468000
7000,1567162
7000,1688162
7000,1730000
7000,1749000
7000,1786000
7000,1833000
7000,1856000
7000,1869000
7000,1939640
7000,1999396
7000,2001604
7000,2100604
7000,2215756
7000,2264000
7000,2314162
7000,2342918
7000,2387756
7000,2456162
7000,2507208
7000,2526208
7000,2540162
7000,2745000
7000,2946000
7000,2960000
7000,2989000
7000,3025000
7000,3036502
7000,3047502
7000,3062374
7000,3078674
7000,3102300
7000,3119000
7000,3144832
7000,3262832
7000,3503700
7000,3766700
7000,3906000
7000,4075000
7000,4230000
7000,4318000
7000,4403000
7000,4470999
7000,4535999
7000,4541000
7000,4585000
7000,4625000
7000,4634848
7000,4653848
7000,4695000
7000,4760000
7000,4801684
7000,4810684
7000,4815000
7000,4848999
7000,4898999
7000,4932284
7000,4965284
7000,5005664
7000,5052068
7000,5106404
7000,5141000
7000,5150000
7000,5155000
7000,5175000
7000,5224000
7000,5259000
7000,5265000
7000,5271000
7000,5287000
7000,5320664
7000,5386100
7000,5429436
7000,5432000
7000,5463000
7000,5500616
7000,5514616
7000,5521000
7000,5525000
7000,5534000
7000,5642436
7000,5753436
7000,5795000
7000,5842000
7000,5927999
7000,6090999
7000,6201000
7000,6221000
7000,6223000
7000,6226000
7000,6229000
7000,6258700
7000,6429700
7000,6583000
7000,6596000
7000,6599000
7000,6643000
7000,6703256
7000,6760256
7000,6815000
7000,6861000
7000,6908000
7000,6927000
7000,6937000
7000,6946000
7000,6953000
7000,6986000
7000,7018000
7000,7030000
7000,7039000
7000,7042296
7000,7046592
7000,7094364
7000,7142068
7000,7145068
7000,7147068
7000,7149000
7000,7150999
7000,7151999
7000,7168000
7000,7189000
7000,7196000
7000,7206000
7000,7221000
7000,7228999
7000,7229999
7000,7248332
7000,7267332
7000,7268336
7000,7273336
7000,7369000
7000,7460668
7000,7461668
7000,7462004
7000,7462826
7000,7470822
7000,7494000
7000,7513000
7000,7517000
7000,7572000
7000,7627000
7000,7634000
7000,7646668
7000,7653668
7000,7654668
7000,7656158
7000,7670490
7000,7690000
7000,7702000
7000,7716000
7000,7742000
7000,7773000
7000,7796000
7000,7815000
7000,7830000
7000,7837892
7000,7916892
7000,8076999
7000,8174999
7000,8208000
7000,8232000
7000,8239000
7000,8308000
7000,8380000
7000,8402000
7000,8433000
7000,8458324
7000,8471324
7000,8480000
7000,8493892
7000,8550556
7000,8613664
7000,8628000
7000,8634999
7000,8641999
7000,8661000
7000,8725664
7000,8780664
7000,8944000
7000,9128000
7000,9191000
7000,9247000
7000,9273000
7000,9324000
7000,9387000
7000,9413000
7000,9438000
7000,9455000
7000,9460000
7000,9468000
7000,9499000
7000,9536999
7000,9547999
7000,9572000
7000,9598000
7000,9607000
7000,9716999
7000,9819999
7000,9824296
7000,9892296
7000,9957000
7000,10006068
7000,10060068
7000,10067000
7000,10092000
7000,10139000
7000,10189000
7000,10233000
7000,10252000
7000,10290000
7000,10337000
7000,10371000
7000,10408000
7000,10456296
7000,10491906
7000,10494610
7000,10520000
7000,10553000
7000,10563000
7000,10566000
7000,10586554
7000,10606462
7000,10608466
7000,10639557
7000,10669999
7000,10676664
7000,10684664
7000,10703000
7000,10745704
7000,10784926
7000,10799444
7000,10801448
7000,10802780
7000,10803444
7000,10804780
7000,10809890
7000,10829284
7000,10850284
7000,10860436
7000,10870040
7000,10877208
7000,10880208
7000,10884208
7000,10889672
7000,10893450
7000,10920722
7000,10947636
7000,10971186
7000,10994890
7000,10996222
7000,10996780
7000,10998116
7000,11021558
7000,11045000
7000,11047856
7000,11051856
7000,11058000
7000,11069000
7000,11080000
7000,11096000
7000,11114000
7000,11139000
7000,11180000
7000,11398000
7000,11681000
7000,11777000
7000,11802000
7000,11822000
7000,11887000
7000,11951000
7000,11988004
7000,12027008
7000,12077004
7000,12125000
7000,12129664
7000,12132274
7000,12175425
7000,12217631
7000,12220816
7000,12225816
7000,12236816
7000,12279000
7000,12318000
7000,12330156
7000,12339156
7000,12352664
7000,12370664
7000,12405000
7000,12451000
7000,12478296
7000,12493296
7000,12504000
7000,12520436
7000,12533436
7000,12534382
7000,12546382
7000,12568068
7000,12586208
7000,12601140
7000,12613000
7000,12637000
7000,12656655
7000,12662655
7000,12669000
7000,12708568
7000,12747140
7000,12749484
7000,12752912
7000,12755000
7000,12756936
7000,12758182
7000,12761246
7000,12764436
7000,12768436
7000,12794930
7000,12835930
7000,12855988
7000,12864988
7000,12872956
7000,12873956
7000,12993000
7000,13127684
7000,13179668
7000,13216994
7000,13223526
7000,13324516
7000,13453000
7000,13574000
7000,13742000
7000,13867000
7000,13934000
7000,13987000
7000,14119446
7000,14247412
7000,14296966
7000,14326000
7000,14439200
7000,14581194
7000,14616988
7000,14622014
7000,14737020
7000,14863000
7000,14898000
7000,14947000
7000,14997000
7000,15020000
7000,15025000
7000,15049000
7000,15090116
7000,15134116
7000,15169000
7000,15224000
7000,15279000
7000,15321000
7000,15447672
7000,15580622
7000,15645900
7000,15716950
7000,15776000
7000,15795000
7000,15836000
7000,15903000
7000,15937704
7000,15979682
7000,16038978
7000,16096644
7000,16347844
7000,16676200
7000,16792000
7000,16797000
7000,16808000
7000,16825000
7000,16848000
7000,16872000
7000,16893000
7000,16908000
7000,16935000
7000,16962000
7000,16992688
7000,17272688
7000,17534999
7000,17545999
7000,17585000
7000,17635000
7000,17703000
7000,17901216
7000,18112888
7000,18461744
7000,18747072
7000,18762000
7000,18987200
7000,19482800
7000,19776600
7000,19810000
7000,19833664
7000,19842328
7000,19847328
7000,19851328
7000,19866664
7000,19889668
7000,19902310
7000,19907284
7000,19911310
7000,19917668
7000,19936496
7000,19953496
7000,20301788
7000,20654788
7000,20669000
7000,20677000
7000,20681000
7000,20688504
7000,20705304
7000,20717700
7000,20728564
7000,20748912
7000,20759684
7000,20780436
7000,20833116
7000,20892116
7000,20959996
7000,21001996
7000,21021892
7000,21079892
7000,21118100
7000,21119100
7000,21121000
7000,21145000
7000,21175000
7000,21184000
7000,21187000
7000,21200952
7000,21219718
7000,21246766
7000,21278000
7000,21312000
7000,21339154
7000,21363154
7000,21401000
7000,21419000
7000,21431664
7000,21460664
7000,21480000
7000,21495050
7000,21509050
7000,21513000
7000,21516612
7000,21517434
7000,21517822
7000,21518056
7000,21518376
13000,5640
13000,11396
13000,35756
13000,121000
13000,186000
13000,195996
13000,215996
13000,248000
13000,268308
13000,298308
13000,339000
13000,401000
13000,494046
13000,538208
13000,543162
13000,555640
13000,563640
13000,573000
13000,605000
13000,653000
13000,804000
13000,980000
13000,1060046
13000,1090452
13000,1099162
13000,1108512
13000,1111756
13000,1120756
13000,1152756
13000,1211162
13000,1245324
13000,1256162
13000,1300000
13000,1350000
13000,1406448
13000,1451448
13000,1468000
13000,1567162
13000,1688162
13000,1730000
13000,1749000
13000,1786000
13000,1833000
13000,1856000
13000,1869000
13000,1939640
13000,1999396
13000,2001604
13000,2100604
13000,2215756
13000,2264000
13000,2314162
13000,2342918
13000,2387756
13000,2456162
13000,2507208
13000,2526208
13000,2540162
13000,2745000
13000,2946000
13000,2960000
13000,2989000
13000,3025000
13000,3036502
13000,3047502
13000,3062374
13000,3078674
